Genes	B	CD4	CD8	Mono	Neu	NK
ABCB1	15.2239215464989	6.33054222947164	42.7138753559832	0.078511318623505	0	36.0528043900628
ABCB4	89.1923229735099	0	0	0.336170613309667	0	0.951958980627485
ABCC3	0	0	0	21.5631973909091	0	0.455706678016801
ABCC6	0	0	0	16.8024914734357	2.21002716330847	0
ABCD2	0.680198844795629	117.323237182781	116.07254573455	0.35596055957	0	7.8183999679893
ABCG1	27.3807268159172	5.95333223197704	9.2464570330913	2.83145497307044	24.486850716662	0.455706678016801
ABHD14B	17.3751278519824	24.2355106764791	33.6413649501832	11.39073790624	0	14.8567282612107
ABHD15	53.7801576370885	23.7443287655812	94.0384353578222	24.204284158296	0.142924351216106	163.281237989911
ABI3	0.827387040570593	2.75812056387769	45.5976599280925	20.1437796655582	0.969526859095829	147.016844070056
ABLIM1	58.4971006524241	191.084618569827	68.3964898921388	0.672341226619334	1.0193630630155	64.5710281842935
ACCS	93.8674405817968	66.7334318734755	37.7853512764467	37.37585875485	0	19.332703792191
ACER1	0	5.28313781348248	2.27988299640462	0	0	0
ACOT2	37.329500837914	27.0032662646475	36.9639305965239	9.52141183494689	0	68.0447943025682
ACOT4	0	2.46106042970956	9.85704815907304	0	0	23.3935182697483
ACPP	0	0	0	8.25166877866241	16.8804040849925	0
ACSL1	0.906931793060838	0	0	5.49579230364535	43.8308704191435	0
ACSL6	0	109.943147256315	88.9154368597804	0	0	0.496252302610684
ACVR2A	7.66660350845681	36.8380131301984	22.7988299640462	27.7241109311689	0	47.1016967287636
ADAM19	55.4328687301466	1.36311715744493	4.10710339961377	5.6995302637141	22.9110791764826	0
ADAM28	288.009904924023	0.167204004602792	0	6.38724165288367	5.43300266874363	5.29659283034199
ADAMTS10	0.453465896530419	41.073034420482	28.7230367410921	1.64873769109361	0	60.4388272650324
ADAMTS17	0	23.4449365327496	11.3994149820231	1.4917150538466	0.768435750481963	6.46098474142298
ADAMTSL4	0	0	0	57.3132625951587	31.109832623192	0
ADAP2	2.66639291699386	0	0	30.4623916259199	0.458786567516551	0
ADARB1	62.1248278246674	15.6572861457249	25.4640410776054	1.34468245323867	0	9.06388312825805
ADCY3	173.315539604601	49.6457884620396	45.5976599280925	19.8829482435656	0.293978159752259	7.65621746961376
ADM	0	0.172235737735353	0	149.26213258902	463.005916876956	0
ADORA2B	0.22673294826521	0	0	12.7744833057673	0	0
ADTRP	0	27.7227715480013	0	0.404493567581491	0	0
AEBP1	24.0950395980071	13.38082110846	1.7705981552728	0.313393465182143	0	4.75979490313743
AFF3	277.680798949461	16.207293832262	0.821420679922754	3.6405398192444	0	0.496252302610684
AGAP1	0	0.427160602249249	7.08239262109121	0	0	4.80034052773131
AGMAT	6.12178960316066	39.3087540397052	15.3451840123643	0	0	1.94446358584885
AHNAK	21.6775404629495	6.06195356646018	206.998011340534	57.9777910586964	0	171.312070888353
AIF1	0.992864448684711	194.88784874593	45.1781373957514	134.699973312043	83.8459530623359	0.496252302610684
AK1	13.7721412994153	67.7582230550853	85.4277507119664	8.14823009473571	0	77.5335432917333
AK5	0	103.751067419015	6.09872697927298	0.863624504858555	0	15.0594563841801
AK8	6.57137443582012	0.0811744580346722	0	0	0	0
AKAP2	242.045625052708	17.1661654918259	22.7988299640462	1.29437941626077	0	38.1691552817713
AKAP5	1.09522907263669	0.795791334204995	3.28568271969101	0	0	98.791301054805
AKAP6	47.3417357167401	6.31267174101377	1.57386502690916	0	0	0
AKR1B1	24.1012472739768	43.4292549936798	22.9997790378371	7.53708658785648	0	17.6315139539054
AKR1C1	0	7.43472458377709	0	0	0.640546012715373	0
AKR1C3	0	5.19648561426699	6.29546010763663	0.626786930364285	0.64245677632567	145.609178411411
ALCAM	16.8708730917837	2.90343404115669	4.92852407953652	5.71490042626434	13.7153497213678	0
ALDH18A1	5.29527705965179	21.7730014057498	47.8061501923657	3.69787674640634	0	42.2608105764384
ALDH1B1	1.8202514892553	10.8722240289666	25.4640410776054	6.72099658937427	0	25.2877314235192
ALDH2	9.29605087887359	1.96661998205365	0.196733128363645	501.9043889937	13.412507814578	0
ALKBH8	8.84258498234317	14.9045919023469	12.5393564802254	9.41277717267067	0	9.3979529324932
ALOX5	286.976994326566	1.46560676179393	2.36079754036374	162.282819313694	416.44521410453	0.992504605221368
ALPK1	23.1267607230514	25.8062164268227	4.92852407953652	43.8750851255	422.353056837872	0.496252302610684
ALPL	0.496432224342356	0	0	0	66.9704752016953	0
AMIGO1	1.33319645849693	90.3379470326813	67.0859967720028	0.316640570206339	0	34.4424106084491
ANK3	14.2841757407082	137.253444883976	5.69970749101156	0.336170613309667	0	5.95502763132821
ANKEF1	6.2881415083365	10.2779947733696	12.5393564802254	0.078511318623505	0	12.4160123727512
ANKH	8.09113301340649	24.7162920441681	28.4985374550578	3.76072158218571	0	10.0158421088855
ANKRD22	0	0.594364606852041	0	5.6995302637141	15.7048451994229	0.496252302610684
ANKRD55	0	42.8768776674249	0	0.392556593117525	2.97466904019125	0
ANPEP	4.08119306877377	0.424110405335159	0	471.647370473463	1060.69021254849	0.496252302610684
ANXA1	0	201.859310500191	211.488112990918	182.146259206532	16.7464473986991	55.5476906806293
ANXA2	19.6918115655801	2.91587558239815	18.0712549583006	119.340567724932	0	7.53458059583211
ANXA3	0.22673294826521	0	0	0.313393465182143	157.06567703075	0
AP1S3	14.6651610434662	0.442989186686363	1.13994149820231	0	0.171976380076055	0
APBA2	0	65.7973230897235	16.4284135984551	0.313393465182143	0	17.7936964522809
APP	7.99917875098157	6.77736944404166	0.786932513454579	8.96132878583236	1.25039833016373	0
AQP3	0	24.7183222911885	9.85704815907304	0	0	0
AQP9	0	0	0	814.399546570703	598.736176230982	0.911413356033602
ARG1	0	0.361301176714788	0	0	38.6993715536801	0
ARHGAP10	0.330954816228237	5.44508425162612	22.9997790378371	7.83113231053999	0	22.350763232449
ARHGAP24	316.065729881702	0	0	75.9937368495213	23.1924241934925	0.496252302610684
ARHGAP42	8.43543654589187	0	0	0	0	2.40017026386565
ARHGEF10L	0.165477408114119	0	0	36.9804288914928	0	0
